"Draw","Date","Winning_Number_1","Winning_Number_2","Winning_Number_3","Winning_Number_4","Winning_Number_5","Winning_Number_6","Additional_Number_","From_Last","Odd","Even","_1-10","_11-20","_21-30","_31-40","_41-50","Division_1_Winners","Division_1_Prize","Division_2_Winners","Division_2_Prize","Division_3_Winners","Division_3_Prize","Division_4_Winners","Division_4_Prize","Division_5_Winners","Division_5_Prize","Division_6_Winners","Division_6_Prize","Division_7_Winners","Division_7_Prize","division_1_total_amount","division_2_total_amount","division_3_total_amount","division_4_total_amount","division_5_total_amount","division_6_total_amount","division_7_total_amount","number_of_winners","total_amount_given"
"3581","10/8/2020","9","19","20","29","36","43","38","43","4","2","1","2","1","1","1","1","2283630","3","160255","122","1548","272","379","6740","50","8191","25","122188","10","2283630","480765","188856","103088","337000","204775","1221880","137517","4819994"
"3580","6/8/2020","10","28","35","39","41","43","44","10","4","2","1","0","1","2","2","0","0","0","0","50","2835","136","569","3379","50","4392","25","63855","10","0","0","141750","77384","168950","109800","638550","71812","1136434"
"3579","3/8/2020","1","3","10","15","32","40","7","","3","3","3","1","0","2","0","1","1036188","3","72715","85","1765","279","294","4962","50","9326","25","88652","10","1036188","218145","150025","82026","248100","233150","886520","103308","2854154"
"3578","30/7/2020","18","24","34","38","43","48","8","34","1","5","0","1","1","2","2","2","500000","3","68790","163","871","375","207","4617","50","8279","25","66606","10","1000000","206370","141973","77625","230850","206975","666060","80045","2529853"
"3577","27/7/2020","4","19","25","31","34","37","32","4","4","2","1","1","1","3","0","0","0","5","468312","84","2020","209","443","4768","50","6744","25","91335","10","0","2341560","169680","92587","238400","168600","913350","103145","3924177"
"3576","23/7/2020","4","12","13","20","35","36","18","20","2","4","1","3","0","2","0","0","0","3","64765","93","1437","173","422","3913","50","5735","25","72846","10","0","194295","133641","73006","195650","143375","728460","82763","1468427"
"3575","20/7/2020","1","20","23","24","40","42","48","","2","4","1","1","2","1","1","1","2067630","4","61764","116","1465","237","391","5592","50","5823","25","95041","10","2067630","247056","169940","92667","279600","145575","950410","106814","3952878"
"3574","16/7/2020","5","18","27","28","29","37","21","37","4","2","1","1","3","1","0","0","0","2","94119","87","1488","209","338","4774","50","5636","25","83475","10","0","188238","129456","70642","238700","140900","834750","94183","1602686"
"3573","13/7/2020","6","22","34","35","37","43","33","","3","3","1","0","1","3","1","1","1991057","3","77324","71","2247","230","379","4158","50","5736","25","75436","10","1991057","231972","159537","87170","207900","143400","754360","85635","3575396"
"3572","9/7/2020","8","10","12","16","21","48","41","48","1","5","2","2","1","0","1","0","0","2","93600","96","1341","196","359","5610","50","4964","25","94576","10","0","187200","128736","70364","280500","124100","945760","105444","1736660"
"3571","6/7/2020","1","22","26","38","39","48","40","38,48","2","4","1","0","2","2","1","0","0","2","1098282","71","2288","165","537","3747","50","5073","25","73921","10","0","2196564","162448","88605","187350","126825","739210","82979","3501002"
"3570","2/7/2020","3","20","36","38","43","48","16","3,38","2","4","1","1","0","2","2","0","0","2","88219","57","2129","125","530","2896","50","3985","25","55320","10","0","176438","121353","66250","144800","99625","553200","62385","1161666"
"3569","29/6/2020","3","9","17","38","39","41","13","","5","1","2","1","0","2","1","1","1000000","2","93485","88","1461","181","388","4581","50","5975","25","75518","10","1000000","186970","128568","70228","229050","149375","755180","86346","2519371"
"3568","25/6/2020","23","37","42","43","47","49","34","23,47","5","1","0","0","1","1","4","1","2468698","5","60410","131","1586","337","337","5243","50","7610","25","93483","10","2468698","302050","207766","113569","262150","190250","934830","106810","4479313"
"3567","2/4/2020","4","11","14","23","28","47","24","","3","3","1","2","2","0","1","0","0","6","36280","102","1468","329","249","6252","50","7924","25","100084","10","0","217680","149736","81921","312600","198100","1000840","114697","1960877"
"3566","30/3/2020","1","7","17","29","30","43","31","7","5","1","2","1","2","0","1","1","2465944","2","148334","144","1417","353","316","7018","50","9707","25","125310","10","2465944","296668","204048","111548","350900","242675","1253100","142535","4924883"
"3565","26/3/2020","7","12","13","19","42","46","29","42","3","3","1","3","0","0","2","0","0","3","74160","76","2013","189","442","4450","50","6262","25","86791","10","0","222480","152988","83538","222500","156550","867910","97771","1705966"
"3564","23/3/2020","10","30","35","39","42","49","18","","3","3","1","0","1","2","2","2","536210","2","112887","75","2070","186","456","3737","50","5140","25","72725","10","1072420","225774","155250","84816","186850","128500","727250","81867","2580860"
"3563","19/3/2020","8","19","27","33","37","47","18","19,47","5","1","1","1","1","2","1","1","8856507","13","64250","339","1694","960","327","18695","50","24674","25","325267","10","8856507","835250","574266","313920","934750","616850","3252670","369949","15384213"
"3562","16/3/2020","2","15","19","40","47","48","27","","3","3","1","2","0","1","2","0","0","5","93050","196","1632","455","384","9318","50","13162","25","176411","10","0","465250","319872","174720","465900","329050","1764110","199547","3518902"
"3561","12/3/2020","1","3","18","34","36","49","16","","3","3","2","1","0","2","1","0","0","5","63165","93","2335","335","354","6203","50","9125","25","120839","10","0","315825","217155","118590","310150","228125","1208390","136600","2398235"
"3560","9/3/2020","4","11","14","22","29","47","6","14","3","3","1","2","2","0","1","0","0","2","124108","77","2217","282","331","5320","50","8782","25","97141","10","0","248216","170709","93342","266000","219550","971410","111604","1969227"
"3559","5/3/2020","12","14","30","37","38","40","42","37","1","5","0","2","1","3","0","1","2724901","4","81379","116","1930","263","465","5953","50","8100","25","114626","10","2724901","325516","223880","122295","297650","202500","1146260","129063","5043002"
"3558","2/3/2020","11","37","39","41","42","46","43","46","4","2","0","1","0","2","3","0","0","1","248150","63","2708","242","385","4009","50","6103","25","75905","10","0","248150","170604","93170","200450","152575","759050","86323","1623999"
"3557","27/2/2020","10","32","35","36","46","49","40","","2","4","1","0","0","3","2","1","9310169","5","183490","332","1900","848","406","17058","50","23394","25","316295","10","9310169","917450","630800","344288","852900","584850","3162950","357933","15803407"
"3556","24/2/2020","11","24","26","29","42","47","25","26","3","3","0","1","3","0","2","0","0","3","159351","183","1796","489","367","9887","50","13844","25","179557","10","0","478053","328668","179463","494350","346100","1795570","203963","3622204"
"3555","20/2/2020","7","19","26","31","34","40","6","19","3","3","1","1","1","3","0","0","0","3","104228","112","1920","308","381","5817","50","9446","25","115585","10","0","312684","215040","117348","290850","236150","1155850","131271","2327922"
"3554","17/2/2020","17","19","23","30","42","45","13","19,23","4","2","0","2","2","0","2","0","0","2","125926","78","2220","252","375","4671","50","6465","25","91313","10","0","251852","173160","94500","233550","161625","913130","102781","1827817"
"3553","13/2/2020","5","7","19","23","44","48","45","","4","2","2","1","1","0","2","1","2643278","1","318453","186","1178","347","345","8669","50","9569","25","147927","10","2643278","318453","219108","119715","433450","239225","1479270","166700","5452499"
"3552","10/2/2020","8","12","15","17","32","46","20","15","2","4","1","3","0","1","1","0","0","5","47606","102","1605","268","334","5283","50","8054","25","101356","10","0","238030","163710","89512","264150","201350","1013560","115068","1970312"
"3551","7/2/2020","10","15","16","21","24","49","2","49","3","3","1","2","2","0","1","1","12000000","20","101649","955","1464","2340","326","43981","50","62436","25","784586","10","12000000","2032980","1398120","762840","2199050","1560900","7845860","894319","27799750"
"3550","3/2/2020","6","9","23","34","42","49","22","49","3","3","2","0","1","1","2","1","3444812","2","214358","193","1528","443","363","9262","50","11981","25","164037","10","3444812","428716","294904","160809","463100","299525","1640370","185919","6732236"
"3549","30/1/2020","7","20","29","41","47","49","28","","5","1","1","1","1","0","3","0","0","3","98836","135","1510","261","427","5680","50","7220","25","104341","10","0","296508","203850","111447","284000","180500","1043410","117640","2119715"
"3548","27/1/2020","3","32","38","43","46","48","34","38","2","4","1","0","0","2","3","1","5423334","2","263841","170","2134","532","372","9513","50","13178","25","177412","10","5423334","527682","362780","197904","475650","329450","1774120","200808","9090920"
"3547","23/1/2020","9","14","36","38","40","47","30","","2","4","1","1","0","3","1","0","0","3","123082","123","2064","356","389","7098","50","9757","25","128157","10","0","369246","253872","138484","354900","243925","1281570","145494","2641997"
"3546","20/1/2020","11","18","20","22","27","37","39","11","3","3","0","3","2","1","0","0","0","1","244830","121","1392","208","442","6396","50","6713","25","109195","10","0","244830","168432","91936","319800","167825","1091950","122634","2084773"
"3545","17/1/2020","1","11","24","28","45","48","23","","3","3","1","1","2","0","2","6","2007961","15","99569","690","1489","1549","362","32009","50","43338","25","574571","10","12047766","1493535","1027410","560738","1600450","1083450","5745710","652178","23559059"
"3544","13/1/2020","2","3","4","13","16","33","14","","3","3","3","2","0","1","0","0","0","8","62802","260","1329","663","285","12867","50","15455","25","224930","10","0","502416","345540","188955","643350","386375","2249300","254183","4315936"
"3543","9/1/2020","12","24","34","38","46","47","28","47","1","5","0","1","1","2","2","0","0","3","105722","92","2371","250","476","5456","50","7688","25","101896","10","0","317166","218132","119000","272800","192200","1018960","115385","2138258"
"3542","6/1/2020","2","7","11","15","26","47","33","15","4","2","2","2","1","0","1","0","0","1","223267","107","1435","226","371","6017","50","6152","25","104490","10","0","223267","153545","83846","300850","153800","1044900","116993","1960208"
"3541","3/1/2020","13","15","21","23","30","35","25","13,35","5","1","0","2","3","1","0","4","1250000","20","44386","437","1397","1146","291","19573","50","28000","25","341807","10","5000000","887720","610489","333486","978650","700000","3418070","390987","11928415"
"3540","30/12/2019","3","12","13","35","36","40","33","36","3","3","1","2","0","3","0","1","1213444","1","255462","93","1889","214","448","4953","50","6953","25","95049","10","1213444","255462","175677","95872","247650","173825","950490","107264","3112420"
"3539","26/12/2019","8","16","20","24","25","36","13","","1","5","1","2","2","1","0","1","2642314","5","111256","133","1648","393","305","7362","50","10219","25","136146","10","2642314","556280","219184","119865","368100","255475","1361460","154259","5522678"
"3538","23/12/2019","1","15","35","41","42","43","28","","5","1","1","1","0","1","3","0","0","0","0","87","1878","208","429","3970","50","5684","25","75986","10","0","0","163386","89232","198500","142100","759860","85935","1353078"
"3537","19/12/2019","19","21","27","36","40","44","2","40","3","3","0","1","2","2","1","0","0","6","1646049","364","1644","732","446","17242","50","22449","25","316162","10","0","9876294","598416","326472","862100","561225","3161620","356955","15386127"
"3536","16/12/2019","4","10","22","23","40","42","7","22","1","5","2","0","2","1","1","0","0","4","196636","188","1737","618","289","10179","50","17757","25","183312","10","0","786544","326556","178602","508950","443925","1833120","212058","4077697"
"3535","12/12/2019","2","22","29","33","36","45","20","22","3","3","1","0","2","2","1","0","0","0","0","102","2102","293","399","5543","50","8422","25","105018","10","0","0","214404","116907","277150","210550","1050180","119378","1869191"
"3534","9/12/2019","21","22","27","30","39","44","46","30","3","3","0","0","4","1","1","0","0","1","239538","77","2139","172","523","4389","50","5117","25","83543","10","0","239538","164703","89956","219450","127925","835430","93299","1677002"
"3533","5/12/2019","2","9","14","26","30","47","34","14","2","4","2","1","2","0","1","0","0","7","1403996","345","1776","835","401","19384","50","23568","25","355099","10","0","9827972","612720","334835","969200","589200","3550990","399238","15884917"
"3532","2/12/2019","1","14","15","25","34","35","36","34","4","2","1","2","1","2","0","0","0","8","57843","195","1632","457","380","9052","50","11561","25","168197","10","0","462744","318240","173660","452600","289025","1681970","189470","3378239"
"3531","28/11/2019","6","30","34","45","46","48","32","6,46","1","5","1","0","1","1","3","0","0","1","301184","80","2589","237","477","4959","50","6491","25","98556","10","0","301184","207120","113049","247950","162275","985560","110324","2017138"
"3530","25/11/2019","3","6","16","35","38","46","23","16","2","4","2","1","0","2","1","0","0","3","75506","54","2884","261","326","4285","50","6646","25","80950","10","0","226518","155736","85086","214250","166150","809500","92199","1657240"
"3529","21/11/2019","1","4","16","18","30","32","37","1,16,30","1","5","2","2","1","1","0","1","9080133","9","97944","412","1471","835","396","20113","50","22083","25","356005","10","9080133","881496","606052","330660","1005650","552075","3560050","399458","16016116"
"3528","18/11/2019","1","16","17","20","21","30","29","16,21","3","3","1","3","2","0","0","0","0","4","195476","216","1519","523","343","11626","50","14117","25","193779","10","0","781904","328104","179389","581300","352925","1937790","220265","4161412"
"3527","14/11/2019","2","9","16","21","36","49","31","","3","3","2","1","1","1","1","0","0","0","0","134","1564","300","381","6835","50","8990","25","122615","10","0","0","209576","114300","341750","224750","1226150","138874","2116526"
"3526","11/11/2019","3","20","29","30","39","41","6","30","4","2","1","1","2","1","1","0","0","1","248214","80","2134","225","414","4357","50","7362","25","85814","10","0","248214","170720","93150","217850","184050","858140","97839","1772124"
"3525","7/11/2019","5","26","28","30","34","46","42","","1","5","1","0","3","1","1","1","5084654","2","238504","143","2294","420","426","9362","50","12201","25","175149","10","5084654","477008","328042","178920","468100","305025","1751490","197278","8593239"
"3524","4/11/2019","3","8","9","38","41","44","34","44","3","3","3","0","0","1","2","0","0","2","296724","123","1971","346","383","8606","50","9772","25","151938","10","0","593448","242433","132518","430300","244300","1519380","170787","3162379"
"3523","31/10/2019","13","30","33","36","44","47","14","36","3","3","0","1","1","2","2","0","0","0","0","67","2473","174","520","3937","50","5498","25","75410","10","0","0","165691","90480","196850","137450","754100","85086","1344571"
"3522","28/10/2019","5","19","20","27","34","36","24","","3","3","1","2","1","2","0","0","0","10","1014665","392","1649","924","382","20511","50","26651","25","377449","10","0","10146650","646408","352968","1025550","666275","3774490","425937","16612341"
"3521","24/10/2019","14","24","25","29","43","44","7","","3","3","0","1","3","0","2","0","0","4","115649","186","1710","504","345","9364","50","13842","25","169834","10","0","462596","318060","173880","468200","346050","1698340","193734","3467126"
"3520","21/10/2019","5","13","28","38","47","48","40","47","3","3","1","1","1","1","2","0","0","4","79394","135","1618","295","404","6579","50","7720","25","115215","10","0","317576","218430","119180","328950","193000","1152150","129948","2329286"
"3519","17/10/2019","2","35","37","42","43","47","44","","4","2","1","0","0","2","3","0","0","2","109083","61","2459","126","650","3248","50","4574","25","63109","10","0","218166","149999","81900","162400","114350","631090","71120","1357905"
"3518","14/10/2019","4","5","14","25","26","45","29","4,26,45","3","3","2","1","2","0","1","1","9348725","11","85254","502","1285","1149","307","22850","50","29110","25","385435","10","9348725","937794","645070","352743","1142500","727750","3854350","439058","17008932"
"3517","10/10/2019","4","18","26","32","34","45","33","26","1","5","1","1","1","2","1","0","0","1","1030363","127","2602","386","467","8154","50","11463","25","164052","10","0","1030363","330454","180262","407700","286575","1640520","184183","3875874"
"3516","7/10/2019","12","13","26","36","41","46","5","12,46","2","4","0","2","1","1","2","0","0","0","0","105","2128","271","450","5560","50","9112","25","104861","10","0","0","223440","121950","278000","227800","1048610","119909","1899800"
"3515","3/10/2019","1","12","24","45","46","48","29","","2","4","1","1","1","0","3","0","0","0","0","75","2063","195","433","4152","50","5562","25","77212","10","0","0","154725","84435","207600","139050","772120","87196","1357930"
"3514","30/9/2019","10","13","16","38","42","47","11","","2","4","1","2","0","1","2","1","1127768","3","79142","59","2767","198","450","4044","50","6674","25","78073","10","1127768","237426","163253","89100","202200","166850","780730","89052","2767327"
"3513","26/9/2019","9","19","30","34","35","46","49","9","3","3","1","1","1","2","1","1","4719169","10","45119","199","1559","451","376","9205","50","10798","25","170883","10","4719169","451190","310241","169576","460250","269950","1708830","191547","8089206"
"3512","23/9/2019","9","10","25","29","41","44","43","","4","2","2","0","2","0","2","0","0","3","180775","105","2072","271","438","7043","50","8014","25","134675","10","0","542325","217560","118698","352150","200350","1346750","150111","2777833"
"3511","19/9/2019","14","22","24","31","45","47","29","","3","3","0","1","2","1","2","0","0","0","0","52","2988","161","527","3710","50","4775","25","71948","10","0","0","155376","84847","185500","119375","719480","80646","1264578"
"3510","16/9/2019","9","17","29","32","36","40","30","","3","3","1","1","1","3","0","1","1141605","2","120169","100","1653","203","444","5353","50","6229","25","98811","10","1141605","240338","165300","90132","267650","155725","988110","110699","3048860"
"3509","12/9/2019","7","10","30","33","44","45","46","10,44","3","3","2","0","1","1","2","1","4765028","2","227341","157","1992","330","517","8923","50","10170","25","166374","10","4765028","454682","312744","170610","446150","254250","1663740","185957","8067204"
"3508","9/9/2019","10","19","25","36","44","49","27","","3","3","1","1","1","1","2","0","0","4","80614","106","2092","280","432","5885","50","7869","25","113198","10","0","322456","221752","120960","294250","196725","1131980","127342","2288123"
"3507","5/9/2019","17","18","27","42","47","48","37","18","3","3","0","2","1","0","3","0","0","3","75343","64","2429","266","319","3601","50","6053","25","68881","10","0","226029","155456","84854","180050","151325","688810","78868","1486524"
"3506","2/9/2019","1","5","18","20","33","44","48","33","3","3","2","2","0","1","1","1","1146091","3","156891","152","1092","216","419","5268","50","5538","25","95976","10","1146091","470673","165984","90504","263400","138450","959760","107154","3234862"
"3505","29/8/2019","6","22","33","40","45","47","49","40","3","3","1","0","1","2","2","2","544800","0","0","105","1502","155","555","3700","50","4766","25","71433","10","1089600","0","157710","86025","185000","119150","714330","80161","2351815"
"3504","26/8/2019","7","18","23","40","44","48","35","","2","4","1","1","1","1","2","0","0","10","998232","330","1920","994","348","19231","50","26004","25","349808","10","0","9982320","633600","345912","961550","650100","3498080","396377","16071562"
"3503","22/8/2019","1","14","25","28","29","38","31","","3","3","1","1","3","1","0","0","0","8","55337","173","1760","383","434","9108","50","11925","25","170224","10","0","442696","304480","166222","455400","298125","1702240","191821","3369163"
"3502","19/8/2019","2","6","19","20","26","45","30","","2","4","2","2","1","0","1","0","0","4","135927","210","1036","443","268","10700","50","11149","25","155788","10","0","543708","217560","118724","535000","278725","1557880","178294","3251597"
"3501","15/8/2019","3","11","27","29","40","42","1","","4","2","1","1","2","1","1","0","0","0","0","58","2696","228","375","4186","50","6646","25","82197","10","0","0","156368","85500","209300","166150","821970","93315","1439288"
"3500","12/8/2019","33","34","36","37","44","49","16","34","3","3","0","0","0","4","2","2","562021","4","117178","79","2060","164","542","3557","50","4794","25","66439","10","1124042","468712","162740","88888","177850","119850","664390","75039","2806472"
"3499","8/8/2019","1","4","5","22","27","34","41","4","3","3","3","0","2","1","0","1","1102324","0","0","107","1492","176","495","5857","50","6139","25","106115","10","1102324","0","159644","87120","292850","153475","1061150","118395","2856563"
"3498","5/8/2019","4","15","16","20","21","26","18","","2","4","1","3","2","0","0","1","4908646","5","96762","236","1410","582","312","11686","50","16314","25","199423","10","4908646","483810","332760","181584","584300","407850","1994230","228247","8893180"
"3497","1/8/2019","3","8","22","30","31","48","42","","2","4","2","0","2","1","1","0","0","7","44754","145","1486","305","386","7959","50","7701","25","142672","10","0","313278","215470","117730","397950","192525","1426720","158789","2663673"
"3496","29/7/2019","4","10","24","32","37","44","31","4","1","5","2","0","1","2","1","0","0","1","236318","83","1958","208","427","4173","50","5522","25","85275","10","0","236318","162514","88816","208650","138050","852750","95262","1687098"
"3495","25/7/2019","4","5","29","30","31","33","41","30","4","2","2","0","2","2","0","1","1090926","1","229669","98","1612","232","372","5114","50","5610","25","94266","10","1090926","229669","157976","86304","255700","140250","942660","105322","2903485"
"3494","22/7/2019","7","23","30","34","43","47","2","","4","2","1","0","2","1","2","3","1624696","2","241027","217","1528","492","368","10148","50","13434","25","173880","10","4874088","482054","331576","181056","507400","335850","1738800","198176","8450824"
"3493","18/7/2019","14","20","25","28","31","42","9","","2","4","0","2","2","1","1","0","0","2","155168","115","1856","308","378","6132","50","9496","25","114737","10","0","310336","213440","116424","306600","237400","1147370","130790","2331570"
"3492","15/7/2019","4","15","30","35","36","43","24","43","3","3","1","1","1","2","1","0","0","2","116868","57","2820","178","493","3799","50","5421","25","76896","10","0","233736","160740","87754","189950","135525","768960","86353","1576665"
"3491","11/7/2019","6","12","28","43","45","47","16","","3","3","1","1","1","0","3","2","4667103","4","235386","364","1779","819","432","19119","50","25751","25","348329","10","9334206","941544","647556","353808","955950","643775","3483290","394388","16360129"
"3490","8/7/2019","9","11","22","23","24","29","49","9","4","2","1","1","4","0","0","0","0","5","95690","260","1266","552","326","14148","50","13853","25","232529","10","0","478450","329160","179952","707400","346325","2325290","261347","4366577"
"3489","4/7/2019","7","9","21","34","36","45","27","7","4","2","2","0","1","2","1","0","0","2","154362","99","2144","366","317","6119","50","10498","25","118290","10","0","308724","212256","116022","305950","262450","1182900","135374","2388302"
"3488","1/7/2019","5","7","27","30","38","48","15","","3","3","2","0","2","1","1","0","0","3","78795","81","2007","326","272","5832","50","8731","25","104574","10","0","236385","162567","88672","291600","218275","1045740","119547","2043239"
"3487","27/6/2019","1","4","25","36","41","47","26","25,41","4","2","2","0","1","1","2","1","4676276","9","49790","163","1891","439","383","8030","50","10740","25","151350","10","4676276","448110","308233","168137","401500","268500","1513500","170732","7784256"
"3486","24/6/2019","8","17","25","32","41","48","21","8,25","3","3","1","1","1","1","2","0","0","4","77419","92","2315","335","347","5797","50","8303","25","110151","10","0","309676","212980","116245","289850","207575","1101510","124682","2237836"
"3485","20/6/2019","8","19","25","26","29","34","7","29","3","3","1","1","3","1","0","0","0","1","226699","102","1528","328","260","5510","50","9177","25","98144","10","0","226699","155856","85280","275500","229425","981440","113262","1954200"
"3484","17/6/2019","6","20","29","36","40","43","10","","2","4","1","1","1","2","1","1","2649770","4","139462","153","1460","264","462","7165","50","8880","25","125534","10","2649770","557848","223380","121968","358250","222000","1255340","142001","5388556"
"3483","13/6/2019","1","3","10","14","22","39","24","10","3","3","3","1","1","1","0","0","0","0","0","93","1723","233","375","5397","50","6584","25","98989","10","0","0","160239","87375","269850","164600","989890","111296","1671954"
"3482","10/6/2019","10","11","15","17","19","46","4","","4","2","1","4","0","0","1","1","1165836","3","81813","148","1141","330","279","7042","50","9675","25","113739","10","1165836","245439","168868","92070","352100","241875","1137390","130938","3403578"
"3481","6/6/2019","21","24","28","31","32","38","4","","2","4","0","0","3","3","0","1","2670599","2","159664","147","1494","263","456","5933","50","8749","25","113720","10","2670599","319328","219618","119928","296650","218725","1137200","128815","4982048"
"3480","3/6/2019","3","4","12","19","27","30","31","4,12,30","3","3","2","2","2","0","0","0","0","4","60726","183","913","860","106","9199","50","11765","25","131686","10","0","242904","167079","91160","459950","294125","1316860","153697","2572078"
"3479","30/5/2019","4","12","21","30","31","44","3","21","2","4","1","1","2","1","1","0","0","13","783981","362","1739","1219","282","20526","50","33126","25","368192","10","0","10191753","629518","343758","1026300","828150","3681920","423438","16701399"
"3478","27/5/2019","5","9","17","21","22","32","34","22,32","4","2","2","1","2","1","0","0","0","5","96008","276","1196","508","355","14068","50","13164","25","227840","10","0","480040","330096","180340","703400","329100","2278400","255861","4301376"
"3477","23/5/2019","12","20","22","31","32","46","38","46","1","5","0","2","1","2","1","0","0","5","111495","120","1809","271","437","6301","50","7403","25","117479","10","0","557475","217080","118427","315050","185075","1174790","131579","2567897"
"3476","20/5/2019","7","18","24","46","47","48","10","7","2","4","1","1","1","0","3","0","0","0","0","87","1912","237","383","4217","50","6129","25","77830","10","0","0","166344","90771","210850","153225","778300","88500","1399490"
"3475","16/5/2019","5","7","9","15","38","45","29","","5","1","3","1","0","1","1","3","1577765","5","89747","295","1046","741","228","14703","50","17741","25","230540","10","4733295","448735","308570","168948","735150","443525","2305400","264028","9143623"
"3474","13/5/2019","2","3","19","21","23","31","1","","5","1","2","1","2","1","0","0","0","11","28847","206","1059","691","173","9322","50","13884","25","149272","10","0","317317","218154","119543","466100","347100","1492720","173386","2960934"
"3473","9/5/2019","5","10","11","18","26","49","4","5,26","3","3","2","2","1","0","1","0","0","4","57612","110","1441","406","213","7197","50","10554","25","114328","10","0","230448","158510","86478","359850","263850","1143280","132599","2242416"
"3472","6/5/2019","5","6","13","26","32","41","18","","3","3","2","1","1","1","1","1","2640034","5","64974","151","1480","458","266","8256","50","11629","25","143651","10","2640034","324870","223480","121828","412800","290725","1436510","164151","5450247"
"3471","2/5/2019","10","15","24","35","42","47","11","10","3","3","1","1","1","1","2","0","0","3","76977","86","1847","191","454","3821","50","6211","25","73382","10","0","230931","158842","86714","191050","155275","733820","83694","1556632"
"3470","29/4/2019","4","10","26","31","39","48","19","","2","4","2","0","1","2","1","1","4994279","3","164221","169","2005","530","349","9722","50","14881","25","181103","10","4994279","492663","338845","184970","486100","372025","1811030","206409","8679912"
"3469","25/4/2019","1","7","14","15","32","38","39","","3","3","2","2","0","2","0","0","0","2","158092","153","1421","349","340","6984","50","8390","25","127821","10","0","316184","217413","118660","349200","209750","1278210","143699","2489417"
"3468","22/4/2019","12","13","19","23","24","44","14","","3","3","0","3","2","0","1","0","0","1","242583","89","1874","256","356","5161","50","6703","25","98439","10","0","242583","166786","91136","258050","167575","984390","110649","1910520"
"3467","18/4/2019","6","15","28","33","45","47","43","47","4","2","1","1","1","1","2","2","1390889","10","58564","140","1631","335","372","6124","50","8008","25","114312","10","2781778","585640","228340","124620","306200","200200","1143120","128931","5369898"
"3466","15/4/2019","8","19","25","34","35","47","30","47","4","2","1","1","1","2","1","0","0","0","0","85","2052","187","509","4629","50","6164","25","90039","10","0","0","174420","95183","231450","154100","900390","101104","1555543"
"3465","11/4/2019","5","12","13","17","29","47","4","","5","1","1","3","1","0","1","0","0","13","813439","376","1723","1159","305","21909","50","31992","25","390054","10","0","10574707","647848","353495","1095450","799800","3900540","445503","17371840"
"3464","8/4/2019","9","19","20","24","28","49","36","20","3","3","1","2","2","0","1","0","0","3","173508","245","1461","461","424","13217","50","13833","25","230675","10","0","520524","357945","195464","660850","345825","2306750","258434","4387358"
"3463","4/4/2019","4","17","20","21","33","39","27","","4","2","1","2","1","2","0","0","0","1","322950","128","1735","364","333","6878","50","9981","25","124947","10","0","322950","222080","121212","343900","249525","1249470","142299","2509137"
"3462","1/4/2019","7","12","22","30","31","36","2","","2","4","1","1","2","2","0","0","0","4","60620","110","1516","342","266","6051","50","9005","25","104616","10","0","242480","166760","90972","302550","225125","1046160","120128","2074047"
"3461","28/3/2019","2","15","20","26","29","44","43","26","2","4","1","2","2","0","1","2","4744763","10","94494","420","1547","843","421","19898","50","24184","25","364332","10","9489526","944940","649740","354903","994900","604600","3643320","409689","16681929"
"3460","25/3/2019","6","13","23","26","34","37","15","13","3","3","1","1","2","2","0","0","0","3","166647","244","1409","487","385","11054","50","13644","25","190780","10","0","499941","343796","187495","552700","341100","1907800","216212","3832832"
"3459","21/3/2019","2","5","12","13","15","31","36","2,5","4","2","2","3","0","1","0","0","0","2","153972","220","963","346","334","10538","50","8881","25","157898","10","0","307944","211860","115564","526900","222025","1578980","177885","2963273"
"3458","18/3/2019","2","5","8","17","43","47","25","2,17","4","2","3","1","0","0","2","0","0","5","48996","99","1702","287","321","5337","50","8997","25","104371","10","0","244980","168498","92127","266850","224925","1043710","119096","2041090"
"3457","14/3/2019","2","4","17","21","25","46","44","","3","3","2","1","2","0","1","1","5079915","1","481942","233","1423","449","403","10671","50","12316","25","192664","10","5079915","481942","331559","180947","533550","307900","1926640","216335","8842453"
"3456","11/3/2019","6","23","26","27","34","49","32","","3","3","1","0","3","1","1","0","0","2","169104","109","2134","235","540","5770","50","8751","25","117884","10","0","338208","232606","126900","288500","218775","1178840","132751","2383829"
"3455","7/3/2019","1","2","13","29","41","43","34","1","5","1","2","1","1","0","2","0","0","2","124654","79","2170","203","461","4738","50","6057","25","90279","10","0","249308","171430","93583","236900","151425","902790","101358","1805436"
"3454","4/3/2019","1","6","7","16","39","40","12","39","3","3","3","1","0","2","0","4","1326581","6","90257","231","1612","729","279","13119","50","19088","25","228119","10","5306324","541542","372372","203391","655950","477200","2281190","261296","9837969"
"3453","28/2/2019","20","24","27","39","43","48","8","27","3","3","0","1","2","1","2","0","0","1","329742","109","2080","277","447","5510","50","8686","25","103328","10","0","329742","226720","123819","275500","217150","1033280","117911","2206211"
"3452","25/2/2019","9","12","27","28","38","44","10","","2","4","1","1","2","1","1","0","0","1","245840","102","1657","298","310","6106","50","9191","25","108991","10","0","245840","169014","92380","305300","229775","1089910","124689","2132219"
"3451","22/2/2019","5","8","14","16","34","39","23","","2","4","2","2","0","2","0","2","6807717","22","104278","872","1809","2847","303","50882","50","77219","25","931567","10","13615434","2294116","1577448","862641","2544100","1930475","9315670","1063411","32139884"
