"Draw","Date","Winning_Number_1","Winning_Number_2","Winning_Number_3","Winning_Number_4","Winning_Number_5","Winning_Number_6","Additional_Number_","From_Last","Odd","Even","_1-10","_11-20","_21-30","_31-40","_41-50","Division_1_Winners","Division_1_Prize","Division_2_Winners","Division_2_Prize","Division_3_Winners","Division_3_Prize","Division_4_Winners","Division_4_Prize","Division_5_Winners","Division_5_Prize","Division_6_Winners","Division_6_Prize","Division_7_Winners","Division_7_Prize","division_1_total_amount","division_2_total_amount","division_3_total_amount","division_4_total_amount","division_5_total_amount","division_6_total_amount","division_7_total_amount","number_of_winners","total_amount_given"
"3739","14/2/2022","10","23","29","33","37","43","8","","5","1","1","0","2","2","1","1","1374201","3","96436","133","1496","301","361","5625","50","8794","25","98262","10","1374201","289308","198968","108661","281250","219850","982620","113119","3454858"
"3738","11/2/2022","9","13","14","16","18","28","10","28","2","4","1","4","1","0","0","8","2427114","42","77154","1630","1367","4426","275","78984","50","111163","25","1351914","10","19416912","3240468","2228210","1217150","3949200","2779075","13519140","1548167","46350155"
"3737","7/2/2022","1","11","17","28","32","35","44","28,32","4","2","1","2","1","2","0","0","0","3","172377","182","1954","534","364","10860","50","14140","25","205036","10","0","517131","355628","194376","543000","353500","2050360","230755","4013995"
"3736","3/2/2022","15","28","31","32","44","49","18","","3","3","0","1","1","2","2","0","0","2","392385","81","2803","240","516","5429","50","7675","25","105010","10","0","784770","227043","123840","271450","191875","1050100","118437","2649078"
"3735","31/1/2022","5","6","10","22","23","40","38","","2","4","3","0","2","1","0","1","3419291","0","0","228","1371","479","356","13286","50","13403","25","223512","10","3419291","0","312588","170524","664300","335075","2235120","250909","7136898"
"3734","27/1/2022","7","21","27","30","32","34","39","32","3","3","1","0","3","2","0","0","0","4","66318","100","1824","269","370","5501","50","6925","25","104734","10","0","265272","182400","99530","275050","173125","1047340","117533","2042717"
"3733","24/1/2022","1","8","10","31","32","38","39","38","2","4","3","0","0","3","0","1","1204831","1","253649","156","1118","246","387","6622","50","6633","25","115576","10","1204831","253649","174408","95202","331100","165825","1155760","129235","3380775"
"3732","21/1/2022","2","4","11","13","28","38","49","4,13","2","4","2","2","1","1","0","2","2576642","13","83454","542","1377","1121","363","26065","50","29592","25","459376","10","5153284","1084902","746334","406923","1303250","739800","4593760","516711","14028253"
"3731","17/1/2022","4","13","26","31","33","35","29","26,35","4","2","1","1","1","3","0","1","1350206","2","142127","120","1629","267","400","5603","50","7667","25","104575","10","1350206","284254","195480","106800","280150","191675","1045750","118235","3454315"
"3730","13/1/2022","3","6","18","20","26","35","34","","2","4","2","2","1","1","0","1","1222451","1","257358","119","1487","200","483","6641","50","6137","25","114953","10","1222451","257358","176953","96600","332050","153425","1149530","128052","3388367"
"3729","10/1/2022","8","11","17","21","30","44","48","8,11,44","3","3","1","2","2","0","1","2","5356938","14","85925","575","1439","1392","325","29819","50","35336","25","517225","10","10713876","1202950","827425","452400","1490950","883400","5172250","584363","20743251"
"3728","7/1/2022","3","8","11","20","44","49","32","20","3","3","2","2","0","0","2","0","0","11","91600","371","1868","1060","357","23143","50","28611","25","425620","10","0","1007600","693028","378420","1157150","715275","4256200","478816","8207673"
