"Draw","Date","Grouping","Number_of_winners","Prize_money"
"3622","1/1/2021","Group 1","0","0"
"3621","28/12/2020","Group 1","2","1332561"
"3620","24/12/2020","Group 1","0","0"
"3619","21/12/2020","Group 1","1","5276378"
"3618","17/12/2020","Group 1","0","0"
"3617","14/12/2020","Group 1","0","0"
"3616","10/12/2020","Group 1","1","1078941"
"3615","7/12/2020","Group 1","1","1157744"
"3614","3/12/2020","Group 1","0","0"
"3613","30/11/2020","Group 1","0","0"
"3612","26/11/2020","Group 1","0","0"
"3611","23/11/2020","Group 1","1","1087867"
"3610","19/11/2020","Group 1","1","2561272"
"3609","16/11/2020","Group 1","0","0"
"3608","12/11/2020","Group 1","3","1683320"
"3607","9/11/2020","Group 1","0","0"
"3606","5/11/2020","Group 1","0","0"
"3605","2/11/2020","Group 1","1","2621371"
"3604","29/10/2020","Group 1","0","0"
"3603","26/10/2020","Group 1","0","0"
"3602","22/10/2020","Group 1","0","0"
"3601","19/10/2020","Group 1","2","1255014"
"3600","15/10/2020","Group 1","0","0"
"3599","12/10/2020","Group 1","2","564671"
"3598","8/10/2020","Group 1","0","0"
"3597","5/10/2020","Group 1","0","0"
"3596","1/10/2020","Group 1","0","0"
"3595","28/9/2020","Group 1","0","0"
"3594","24/9/2020","Group 1","0","0"
"3593","21/9/2020","Group 1","0","0"
"3592","17/9/2020","Group 1","2","507754"
"3591","14/9/2020","Group 1","1","1027357"
"3590","10/9/2020","Group 1","1","2331676"
"3589","7/9/2020","Group 1","0","0"
"3588","3/9/2020","Group 1","1","1000000"
"3587","31/8/2020","Group 1","1","1063603"
"3586","27/8/2020","Group 1","0","0"
"3585","24/8/2020","Group 1","0","0"
"3584","20/8/2020","Group 1","2","500000"
"3583","17/8/2020","Group 1","1","2265634"
"3582","13/8/2020","Group 1","0","0"
"3581","10/8/2020","Group 1","1","2283630"
"3580","6/8/2020","Group 1","0","0"
"3579","3/8/2020","Group 1","1","1036188"
"3578","30/7/2020","Group 1","2","500000"
"3577","27/7/2020","Group 1","0","0"
"3576","23/7/2020","Group 1","0","0"
"3575","20/7/2020","Group 1","1","2067630"
"3574","16/7/2020","Group 1","0","0"
"3573","13/7/2020","Group 1","1","1991057"
"3572","9/7/2020","Group 1","0","0"
"3571","6/7/2020","Group 1","0","0"
"3570","2/7/2020","Group 1","0","0"
"3569","29/6/2020","Group 1","1","1000000"
"3568","25/6/2020","Group 1","1","2468698"
"3567","2/4/2020","Group 1","0","0"
"3566","30/3/2020","Group 1","1","2465944"
"3565","26/3/2020","Group 1","0","0"
"3564","23/3/2020","Group 1","2","536210"
"3563","19/3/2020","Group 1","1","8856507"
"3562","16/3/2020","Group 1","0","0"
"3561","12/3/2020","Group 1","0","0"
"3560","9/3/2020","Group 1","0","0"
"3559","5/3/2020","Group 1","1","2724901"
"3558","2/3/2020","Group 1","0","0"
"3557","27/2/2020","Group 1","1","9310169"
"3556","24/2/2020","Group 1","0","0"
"3555","20/2/2020","Group 1","0","0"
"3554","17/2/2020","Group 1","0","0"
"3553","13/2/2020","Group 1","1","2643278"
"3552","10/2/2020","Group 1","0","0"
"3551","7/2/2020","Group 1","1","12000000"
"3550","3/2/2020","Group 1","1","3444812"
"3549","30/1/2020","Group 1","0","0"
"3548","27/1/2020","Group 1","1","5423334"
"3547","23/1/2020","Group 1","0","0"
"3546","20/1/2020","Group 1","0","0"
"3545","17/1/2020","Group 1","6","2007961"
"3544","13/1/2020","Group 1","0","0"
"3543","9/1/2020","Group 1","0","0"
"3542","6/1/2020","Group 1","0","0"
"3541","3/1/2020","Group 1","4","1250000"
"3540","30/12/2019","Group 1","1","1213444"
"3539","26/12/2019","Group 1","1","2642314"
"3538","23/12/2019","Group 1","0","0"
"3537","19/12/2019","Group 1","0","0"
"3536","16/12/2019","Group 1","0","0"
"3535","12/12/2019","Group 1","0","0"
"3534","9/12/2019","Group 1","0","0"
"3533","5/12/2019","Group 1","0","0"
"3532","2/12/2019","Group 1","0","0"
"3531","28/11/2019","Group 1","0","0"
"3530","25/11/2019","Group 1","0","0"
"3529","21/11/2019","Group 1","1","9080133"
"3528","18/11/2019","Group 1","0","0"
"3527","14/11/2019","Group 1","0","0"
"3526","11/11/2019","Group 1","0","0"
"3525","7/11/2019","Group 1","1","5084654"
"3524","4/11/2019","Group 1","0","0"
"3523","31/10/2019","Group 1","0","0"
"3522","28/10/2019","Group 1","0","0"
"3521","24/10/2019","Group 1","0","0"
"3520","21/10/2019","Group 1","0","0"
"3519","17/10/2019","Group 1","0","0"
"3518","14/10/2019","Group 1","1","9348725"
"3517","10/10/2019","Group 1","0","0"
"3516","7/10/2019","Group 1","0","0"
"3515","3/10/2019","Group 1","0","0"
"3514","30/9/2019","Group 1","1","1127768"
"3513","26/9/2019","Group 1","1","4719169"
"3512","23/9/2019","Group 1","0","0"
"3511","19/9/2019","Group 1","0","0"
"3510","16/9/2019","Group 1","1","1141605"
"3509","12/9/2019","Group 1","1","4765028"
"3508","9/9/2019","Group 1","0","0"
"3507","5/9/2019","Group 1","0","0"
"3506","2/9/2019","Group 1","1","1146091"
"3505","29/8/2019","Group 1","2","544800"
"3504","26/8/2019","Group 1","0","0"
"3503","22/8/2019","Group 1","0","0"
"3502","19/8/2019","Group 1","0","0"
"3501","15/8/2019","Group 1","0","0"
"3500","12/8/2019","Group 1","2","562021"
"3499","8/8/2019","Group 1","1","1102324"
"3498","5/8/2019","Group 1","1","4908646"
"3497","1/8/2019","Group 1","0","0"
"3496","29/7/2019","Group 1","0","0"
"3495","25/7/2019","Group 1","1","1090926"
"3494","22/7/2019","Group 1","3","1624696"
"3493","18/7/2019","Group 1","0","0"
"3492","15/7/2019","Group 1","0","0"
"3491","11/7/2019","Group 1","2","4667103"
"3490","8/7/2019","Group 1","0","0"
"3489","4/7/2019","Group 1","0","0"
"3488","1/7/2019","Group 1","0","0"
"3487","27/6/2019","Group 1","1","4676276"
"3486","24/6/2019","Group 1","0","0"
"3485","20/6/2019","Group 1","0","0"
"3484","17/6/2019","Group 1","1","2649770"
"3483","13/6/2019","Group 1","0","0"
"3482","10/6/2019","Group 1","1","1165836"
"3481","6/6/2019","Group 1","1","2670599"
"3480","3/6/2019","Group 1","0","0"
"3479","30/5/2019","Group 1","0","0"
"3478","27/5/2019","Group 1","0","0"
"3477","23/5/2019","Group 1","0","0"
"3476","20/5/2019","Group 1","0","0"
"3475","16/5/2019","Group 1","3","1577765"
"3474","13/5/2019","Group 1","0","0"
"3473","9/5/2019","Group 1","0","0"
"3472","6/5/2019","Group 1","1","2640034"
"3471","2/5/2019","Group 1","0","0"
"3470","29/4/2019","Group 1","1","4994279"
"3469","25/4/2019","Group 1","0","0"
"3468","22/4/2019","Group 1","0","0"
"3467","18/4/2019","Group 1","2","1390889"
"3466","15/4/2019","Group 1","0","0"
"3465","11/4/2019","Group 1","0","0"
"3464","8/4/2019","Group 1","0","0"
"3463","4/4/2019","Group 1","0","0"
"3462","1/4/2019","Group 1","0","0"
"3461","28/3/2019","Group 1","2","4744763"
"3460","25/3/2019","Group 1","0","0"
"3459","21/3/2019","Group 1","0","0"
"3458","18/3/2019","Group 1","0","0"
"3457","14/3/2019","Group 1","1","5079915"
"3456","11/3/2019","Group 1","0","0"
"3455","7/3/2019","Group 1","0","0"
"3454","4/3/2019","Group 1","4","1326581"
"3453","28/2/2019","Group 1","0","0"
"3452","25/2/2019","Group 1","0","0"
"3451","22/2/2019","Group 1","2","6807717"
"3450","18/2/2019","Group 1","0","0"
"3449","14/2/2019","Group 1","2","693261"
"3448","11/2/2019","Group 1","1","1516866"
"3447","7/2/2019","Group 1","2","1547890"
"3446","4/2/2019","Group 1","0","0"
"3445","1/2/2019","Group 1","1","5000000"
"3444","28/1/2019","Group 1","1","2941606"
"3443","24/1/2019","Group 1","0","0"
"3442","21/1/2019","Group 1","1","2895779"
"3441","17/1/2019","Group 1","0","0"
"3440","14/1/2019","Group 1","1","9588137"
"3439","11/1/2019","Group 1","0","0"
"3438","7/1/2019","Group 1","1","1203503"
"3437","3/1/2019","Group 1","1","9731377"
"3436","31/12/2018","Group 1","0","0"
"3435","27/12/2018","Group 1","0","0"
"3434","24/12/2018","Group 1","0","0"
"3433","20/12/2018","Group 1","1","4604567"
"3432","17/12/2018","Group 1","0","0"
"3431","13/12/2018","Group 1","0","0"
"3430","10/12/2018","Group 1","1","2520863"
"3429","6/12/2018","Group 1","0","0"
"3428","3/12/2018","Group 1","1","1085425"
"3427","29/11/2018","Group 1","1","2469422"
"3426","26/11/2018","Group 1","0","0"
