"Draw","Date","Grouping","Number_of_winners","Prize_money"
"3145","17/3/2016","Group 2","9","27119"
"3144","14/3/2016","Group 2","8","94675"
"3143","10/3/2016","Group 2","2","228128"
"3142","7/3/2016","Group 2","3","115253"
"3141","3/3/2016","Group 2","2","131264"
"3140","29/2/2016","Group 2","3","175685"
"3139","25/2/2016","Group 2","2","168267"
"3138","22/2/2016","Group 2","4","71289"
"3137","19/2/2016","Group 2","20","122838"
"3136","15/2/2016","Group 2","3","136081"
"3135","11/2/2016","Group 2","10","89225"
"3134","8/2/2016","Group 2","9","56127"
"3133","4/2/2016","Group 2","4","86892"
"3132","1/2/2016","Group 2","4","66156"
"3131","28/1/2016","Group 2","3","267984"
"3130","25/1/2016","Group 2","0","0"
"3129","21/1/2016","Group 2","6","40380"
"3128","18/1/2016","Group 2","5","66966"
"3127","14/1/2016","Group 2","2","128870"
"3126","11/1/2016","Group 2","2","4559710"
"3125","7/1/2016","Group 2","5","88259"
"3124","4/1/2016","Group 2","2","281992"
"3123","31/12/2015","Group 2","0","0"
"3122","28/12/2015","Group 2","3","139582"
"3121","24/12/2015","Group 2","4","73997"
"3120","21/12/2015","Group 2","1","239840"
"3119","17/12/2015","Group 2","8","28726"
"3118","14/12/2015","Group 2","5","86632"
"3117","10/12/2015","Group 2","5","107778"
"3116","7/12/2015","Group 2","0","0"
"3115","3/12/2015","Group 2","1","651039"
"3114","30/11/2015","Group 2","4","111652"
"3113","26/11/2015","Group 2","1","290744"
"3112","23/11/2015","Group 2","3","78901"
"3111","19/11/2015","Group 2","7","59782"
"3110","16/11/2015","Group 2","1","306509"
"3109","12/11/2015","Group 2","8","30177"
"3108","9/11/2015","Group 2","3","2697280"
"3107","5/11/2015","Group 2","5","78316"
"3106","2/11/2015","Group 2","3","168872"
"3105","29/10/2015","Group 2","0","0"
"3104","26/10/2015","Group 2","3","95096"
"3103","22/10/2015","Group 2","4","53607"
"3102","19/10/2015","Group 2","3","141282"
"3101","15/10/2015","Group 2","1","273589"
"3100","12/10/2015","Group 2","3","76388"
"3099","8/10/2015","Group 2","5","44270"
"3098","5/10/2015","Group 2","1","625091"
"3097","1/10/2015","Group 2","0","0"
"3096","28/9/2015","Group 2","2","143043"
"3095","24/9/2015","Group 2","5","42498"
"3094","21/9/2015","Group 2","6","69317"
"3093","17/9/2015","Group 2","2","132440"
"3092","14/9/2015","Group 2","1","226260"
"3091","10/9/2015","Group 2","2","111274"
"3090","7/9/2015","Group 2","2","148898"
"3089","3/9/2015","Group 2","3","76278"
"3088","31/8/2015","Group 2","4","76767"
"3087","27/8/2015","Group 2","1","222179"
"3086","24/8/2015","Group 2","8","80449"
"3085","20/8/2015","Group 2","5","78397"
"3084","17/8/2015","Group 2","3","93759"
"3083","13/8/2015","Group 2","1","216117"
"3082","10/8/2015","Group 2","6","45610"
"3081","6/8/2015","Group 2","7","30516"
"3080","3/8/2015","Group 2","4","102618"
"3079","30/7/2015","Group 2","3","90675"
"3078","27/7/2015","Group 2","2","106095"
"3077","23/7/2015","Group 2","3","126857"
"3076","20/7/2015","Group 2","1","271186"
"3075","16/7/2015","Group 2","3","70336"
"3074","13/7/2015","Group 2","1","220134"
"3073","9/7/2015","Group 2","1","219010"
"3072","6/7/2015","Group 2","6","70080"
"3071","2/7/2015","Group 2","6","44563"
"3070","29/6/2015","Group 2","3","70802"
"3069","25/6/2015","Group 2","1","263709"
"3068","22/6/2015","Group 2","3","70972"
"3067","18/6/2015","Group 2","6","82395"
"3066","15/6/2015","Group 2","0","0"
"3065","11/6/2015","Group 2","4","145115"
"3064","8/6/2015","Group 2","6","68864"
"3063","4/6/2015","Group 2","10","26182"
"3062","1/6/2015","Group 2","5","44115"
"3061","28/5/2015","Group 2","5","52107"
"3060","25/5/2015","Group 2","3","72148"
"3059","21/5/2015","Group 2","1","263097"
"3058","18/5/2015","Group 2","1","219345"
"3057","14/5/2015","Group 2","4","66694"
"3056","11/5/2015","Group 2","4","55689"
"3055","7/5/2015","Group 2","2","109203"
"3054","4/5/2015","Group 2","4","73104"
"3053","30/4/2015","Group 2","2","109996"
"3052","27/4/2015","Group 2","2","205526"
"3051","23/4/2015","Group 2","3","94306"
"3050","20/4/2015","Group 2","8","29095"
"3049","16/4/2015","Group 2","2","149212"
"3048","13/4/2015","Group 2","6","40586"
"3047","9/4/2015","Group 2","4","141451"
"3046","6/4/2015","Group 2","8","52378"
"3045","2/4/2015","Group 2","6","51284"
"3044","30/3/2015","Group 2","1","256151"
"3043","26/3/2015","Group 2","2","4043670"
"3042","23/3/2015","Group 2","6","129415"
"3041","19/3/2015","Group 2","0","0"
"3040","16/3/2015","Group 2","6","42657"
"3039","12/3/2015","Group 2","5","126322"
"3038","9/3/2015","Group 2","4","117269"
"3037","5/3/2015","Group 2","1","340846"
"3036","2/3/2015","Group 2","4","62897"
"3035","27/2/2015","Group 2","14","122673"
"3034","23/2/2015","Group 2","2","304973"
"3033","19/2/2015","Group 2","0","0"
"3032","16/2/2015","Group 2","6","106861"
"3031","12/2/2015","Group 2","4","102665"
"3030","9/2/2015","Group 2","5","62100"
"3029","5/2/2015","Group 2","3","76297"
"3028","2/2/2015","Group 2","10","42443"
"3027","29/1/2015","Group 2","1","506072"
"3026","26/1/2015","Group 2","0","0"
"3025","22/1/2015","Group 2","2","105158"
"3024","19/1/2015","Group 2","4","100340"
"3023","15/1/2015","Group 2","1","262285"
"3022","12/1/2015","Group 2","2","107522"
"3021","8/1/2015","Group 2","2","244066"
"3020","5/1/2015","Group 2","0","0"
"3019","1/1/2015","Group 2","2","144153"
"3018","29/12/2014","Group 2","1","219930"
"3017","25/12/2014","Group 2","2","131515"
"3016","22/12/2014","Group 2","2","110628"
"3015","18/12/2014","Group 2","1","262007"
"3014","15/12/2014","Group 2","1","219249"
"3013","11/12/2014","Group 2","3","87537"
"3012","8/12/2014","Group 2","1","228397"
"3011","4/12/2014","Group 2","2","143336"
"3010","1/12/2014","Group 2","5","52670"
"3009","27/11/2014","Group 2","3","2273867"
"3008","24/11/2014","Group 2","8","43349"
"3007","20/11/2014","Group 2","11","23758"
"3006","17/11/2014","Group 2","2","110596"
"3005","13/11/2014","Group 2","8","65890"
"3004","10/11/2014","Group 2","3","117281"
"3003","6/11/2014","Group 2","3","84424"
"3002","3/11/2014","Group 2","4","135849"
"3001","30/10/2014","Group 2","0","0"
"3000","27/10/2014","Group 2","1","455390"
"2999","23/10/2014","Group 2","0","0"
"2998","20/10/2014","Group 2","3","115464"
"2997","16/10/2014","Group 2","2","119110"
"2996","13/10/2014","Group 2","1","216057"
"2995","9/10/2014","Group 2","1","280122"
"3766","19/5/2022","Group 3","331","1136"
"3765","16/5/2022","Group 3","86","2693"
"3764","12/5/2022","Group 3","95","1754"
"3763","9/5/2022","Group 3","159","1083"
"3762","5/5/2022","Group 3","107","2180"
"3761","2/5/2022","Group 3","97","1814"
"3760","28/4/2022","Group 3","201","1131"
"3759","25/4/2022","Group 3","81","2122"
"3758","21/4/2022","Group 3","220","1056"
"3757","18/4/2022","Group 3","86","1988"
"3756","14/4/2022","Group 3","576","1419"
"3755","11/4/2022","Group 3","284","1471"
"3754","7/4/2022","Group 3","214","1064"
"3753","4/4/2022","Group 3","74","2406"
"3752","31/3/2022","Group 3","217","1056"
"3751","28/3/2022","Group 3","127","1367"
"3750","24/3/2022","Group 3","98","1701"
"3749","21/3/2022","Group 3","133","1339"
"3748","17/3/2022","Group 3","210","1755"
"3747","14/3/2022","Group 3","115","2019"
"3746","10/3/2022","Group 3","65","2609"
"3745","7/3/2022","Group 3","96","1849"
"3744","3/3/2022","Group 3","156","1454"
"3743","28/2/2022","Group 3","92","1969"
"3742","24/2/2022","Group 3","111","2030"
"3741","21/2/2022","Group 3","98","1899"
"3740","17/2/2022","Group 3","83","2261"
"3739","14/2/2022","Group 3","133","1496"
"3738","11/2/2022","Group 3","1630","1367"
"3737","7/2/2022","Group 3","182","1954"
"3736","3/2/2022","Group 3","81","2803"
"3735","31/1/2022","Group 3","228","1371"
"3734","27/1/2022","Group 3","100","1824"
"3733","24/1/2022","Group 3","156","1118"
"3732","21/1/2022","Group 3","542","1377"
"3731","17/1/2022","Group 3","120","1629"
"3730","13/1/2022","Group 3","119","1487"
"3729","10/1/2022","Group 3","575","1439"
"3728","7/1/2022","Group 3","371","1868"
"3727","3/1/2022","Group 3","156","1625"
"3726","30/12/2021","Group 3","150","1128"
"3725","27/12/2021","Group 3","122","1407"
"3724","23/12/2021","Group 3","173","1996"
"3723","20/12/2021","Group 3","176","1340"
"3722","16/12/2021","Group 3","72","2230"
"3721","13/12/2021","Group 3","107","1585"
"3720","9/12/2021","Group 3","90","1821"
"3719","6/12/2021","Group 3","198","1898"
"3718","2/12/2021","Group 3","96","2248"
"3717","29/11/2021","Group 3","124","1387"
"3716","25/11/2021","Group 3","85","1915"
"3715","22/11/2021","Group 3","135","1821"
"3714","18/11/2021","Group 3","80","2029"
"3713","15/11/2021","Group 3","471","1650"
"3712","11/11/2021","Group 3","255","1419"
"3711","8/11/2021","Group 3","141","1845"
"3710","4/11/2021","Group 3","74","2291"
"3709","1/11/2021","Group 3","487","1624"
"3708","28/10/2021","Group 3","231","1638"
"3707","25/10/2021","Group 3","110","2273"
"3706","21/10/2021","Group 3","97","1618"
"3705","18/10/2021","Group 3","433","1774"
"3704","14/10/2021","Group 3","200","1866"
"3703","11/10/2021","Group 3","122","1899"
"3702","7/10/2021","Group 3","87","1896"
"3701","4/10/2021","Group 3","99","1736"
"3700","30/9/2021","Group 3","159","1404"
"3699","27/9/2021","Group 3","60","2772"
"3698","23/9/2021","Group 3","254","1471"
"3697","20/9/2021","Group 3","129","1810"
"3696","16/9/2021","Group 3","69","2358"
"3695","13/9/2021","Group 3","101","2317"
"3694","9/9/2021","Group 3","64","2611"
"3693","6/9/2021","Group 3","82","2143"
"3692","2/9/2021","Group 3","148","1095"
"3691","30/8/2021","Group 3","125","2013"
"3690","26/8/2021","Group 3","87","1892"
"3689","23/8/2021","Group 3","148","1609"
"3688","19/8/2021","Group 3","82","2016"
"3687","16/8/2021","Group 3","140","1740"
"3686","12/8/2021","Group 3","90","1892"
"3685","9/8/2021","Group 3","90","2028"
"3684","5/8/2021","Group 3","117","1448"
"3683","2/8/2021","Group 3","152","1580"
"3682","29/7/2021","Group 3","74","2275"
"3681","26/7/2021","Group 3","122","1902"
"3680","22/7/2021","Group 3","56","2973"
"3679","19/7/2021","Group 3","89","2039"
"3678","15/7/2021","Group 3","289","810"
"3677","12/7/2021","Group 3","77","2306"
"3676","8/7/2021","Group 3","198","1189"
"3675","5/7/2021","Group 3","123","1430"
"3674","1/7/2021","Group 3","162","1456"
"3673","28/6/2021","Group 3","81","2187"
"3672","24/6/2021","Group 3","161","1422"
"3671","21/6/2021","Group 3","263","665"
"3670","17/6/2021","Group 3","119","1857"
"3669","14/6/2021","Group 3","86","1981"
"3668","10/6/2021","Group 3","136","1633"
"3667","7/6/2021","Group 3","99","1735"
"3666","3/6/2021","Group 3","86","1860"
"3665","31/5/2021","Group 3","75","2214"
"3664","27/5/2021","Group 3","107","1438"
"3663","24/5/2021","Group 3","480","1415"
"3662","20/5/2021","Group 3","225","1440"
"3661","17/5/2021","Group 3","111","1885"
"3660","13/5/2021","Group 3","75","2179"
"3659","10/5/2021","Group 3","75","2321"
"3658","6/5/2021","Group 3","146","1121"
"3657","3/5/2021","Group 3","147","1636"
"3656","29/4/2021","Group 3","90","1863"
"3655","26/4/2021","Group 3","89","1915"
"3654","22/4/2021","Group 3","461","1593"
"3653","19/4/2021","Group 3","213","1860"
"3652","15/4/2021","Group 3","133","1730"
"3651","12/4/2021","Group 3","75","2478"
"3650","8/4/2021","Group 3","256","962"
"3649","5/4/2021","Group 3","150","1191"
"3648","1/4/2021","Group 3","560","1379"
"3647","29/3/2021","Group 3","237","1739"
"3646","25/3/2021","Group 3","138","1660"
"3645","22/3/2021","Group 3","78","2387"
"3644","18/3/2021","Group 3","244","712"
"3643","15/3/2021","Group 3","103","1815"
"3642","11/3/2021","Group 3","100","1870"
"3641","8/3/2021","Group 3","312","1534"
"3640","4/3/2021","Group 3","207","1210"
"3639","1/3/2021","Group 3","136","1372"
"3638","26/2/2021","Group 3","844","1756"
"3637","22/2/2021","Group 3","223","1099"
"3636","18/2/2021","Group 3","217","1412"
"3635","15/2/2021","Group 3","126","1911"
"3634","11/2/2021","Group 3","157","1429"
"3633","8/2/2021","Group 3","595","1642"
"3632","5/2/2021","Group 3","562","1483"
"3631","1/2/2021","Group 3","383","1191"
"3630","28/1/2021","Group 3","117","1950"
"3629","25/1/2021","Group 3","168","1066"
"3628","21/1/2021","Group 3","131","1297"
"3627","18/1/2021","Group 3","112","1606"
"3626","14/1/2021","Group 3","103","1689"
"3625","11/1/2021","Group 3","137","1297"
"3624","7/1/2021","Group 3","132","1321"
"3623","4/1/2021","Group 3","714","1192"
"3622","1/1/2021","Group 3","450","1504"
"3621","28/12/2020","Group 3","115","1988"
"3620","24/12/2020","Group 3","118","1332"
"3619","21/12/2020","Group 3","213","1838"
"3618","17/12/2020","Group 3","144","1451"
"3617","14/12/2020","Group 3","99","1652"
"3616","10/12/2020","Group 3","102","1531"
"3615","7/12/2020","Group 3","94","1783"
"3614","3/12/2020","Group 3","228","1589"
"3613","30/11/2020","Group 3","98","2239"
"3612","26/11/2020","Group 3","104","1489"
"3611","23/11/2020","Group 3","130","1212"
"3610","19/11/2020","Group 3","184","1133"
"3609","16/11/2020","Group 3","68","2387"
"3608","12/11/2020","Group 3","315","1124"
"3607","9/11/2020","Group 3","119","1862"
"3606","5/11/2020","Group 3","72","2158"
"3605","2/11/2020","Group 3","142","1554"
"3604","29/10/2020","Group 3","90","1765"
"3603","26/10/2020","Group 3","142","1519"
"3602","22/10/2020","Group 3","73","2078"
"3601","19/10/2020","Group 3","340","616"
"3600","15/10/2020","Group 3","61","2523"
"3599","12/10/2020","Group 3","317","516"
"3598","8/10/2020","Group 3","168","1216"
"3597","5/10/2020","Group 3","100","1589"
"3596","1/10/2020","Group 3","181","1147"
"3595","28/9/2020","Group 3","58","2642"
"3594","24/9/2020","Group 3","79","2471"
"3593","21/9/2020","Group 3","90","1695"
"3592","17/9/2020","Group 3","356","413"
"3591","14/9/2020","Group 3","83","1792"
"3590","10/9/2020","Group 3","99","1884"
"3589","7/9/2020","Group 3","143","1057"
"3588","3/9/2020","Group 3","76","1890"
"3587","31/8/2020","Group 3","106","1453"
"3586","27/8/2020","Group 3","67","2726"
"3585","24/8/2020","Group 3","47","3170"
"3584","20/8/2020","Group 3","68","2088"
"3583","17/8/2020","Group 3","90","2069"
"3582","13/8/2020","Group 3","59","2403"
"3581","10/8/2020","Group 3","122","1548"
"3580","6/8/2020","Group 3","50","2835"
"3579","3/8/2020","Group 3","85","1765"
"3578","30/7/2020","Group 3","163","871"
"3577","27/7/2020","Group 3","84","2020"
"3576","23/7/2020","Group 3","93","1437"
"3575","20/7/2020","Group 3","116","1465"
"3574","16/7/2020","Group 3","87","1488"
"3573","13/7/2020","Group 3","71","2247"
"3572","9/7/2020","Group 3","96","1341"
"3571","6/7/2020","Group 3","71","2288"
"3570","2/7/2020","Group 3","57","2129"
"3569","29/6/2020","Group 3","88","1461"
"3568","25/6/2020","Group 3","131","1586"
"3567","2/4/2020","Group 3","102","1468"
"3566","30/3/2020","Group 3","144","1417"
"3565","26/3/2020","Group 3","76","2013"
"3564","23/3/2020","Group 3","75","2070"
"3563","19/3/2020","Group 3","339","1694"
"3562","16/3/2020","Group 3","196","1632"
"3561","12/3/2020","Group 3","93","2335"
"3560","9/3/2020","Group 3","77","2217"
"3559","5/3/2020","Group 3","116","1930"
"3558","2/3/2020","Group 3","63","2708"
"3557","27/2/2020","Group 3","332","1900"
"3556","24/2/2020","Group 3","183","1796"
"3555","20/2/2020","Group 3","112","1920"
"3554","17/2/2020","Group 3","78","2220"
"3553","13/2/2020","Group 3","186","1178"
"3552","10/2/2020","Group 3","102","1605"
"3551","7/2/2020","Group 3","955","1464"
"3550","3/2/2020","Group 3","193","1528"
"3549","30/1/2020","Group 3","135","1510"
"3548","27/1/2020","Group 3","170","2134"
"3547","23/1/2020","Group 3","123","2064"
"3546","20/1/2020","Group 3","121","1392"
"3545","17/1/2020","Group 3","690","1489"
"3544","13/1/2020","Group 3","260","1329"
"3543","9/1/2020","Group 3","92","2371"
"3542","6/1/2020","Group 3","107","1435"
"3541","3/1/2020","Group 3","437","1397"
"3540","30/12/2019","Group 3","93","1889"
"3539","26/12/2019","Group 3","133","1648"
"3538","23/12/2019","Group 3","87","1878"
"3537","19/12/2019","Group 3","364","1644"
"3536","16/12/2019","Group 3","188","1737"
"3535","12/12/2019","Group 3","102","2102"
"3534","9/12/2019","Group 3","77","2139"
"3533","5/12/2019","Group 3","345","1776"
"3532","2/12/2019","Group 3","195","1632"
"3531","28/11/2019","Group 3","80","2589"
"3530","25/11/2019","Group 3","54","2884"
"3529","21/11/2019","Group 3","412","1471"
"3528","18/11/2019","Group 3","216","1519"
"3527","14/11/2019","Group 3","134","1564"
"3526","11/11/2019","Group 3","80","2134"
"3525","7/11/2019","Group 3","143","2294"
"3524","4/11/2019","Group 3","123","1971"
"3523","31/10/2019","Group 3","67","2473"
"3522","28/10/2019","Group 3","392","1649"
"3521","24/10/2019","Group 3","186","1710"
"3520","21/10/2019","Group 3","135","1618"
"3519","17/10/2019","Group 3","61","2459"
"3518","14/10/2019","Group 3","502","1285"
"3517","10/10/2019","Group 3","127","2602"
"3516","7/10/2019","Group 3","105","2128"
"3515","3/10/2019","Group 3","75","2063"
"3514","30/9/2019","Group 3","59","2767"
"3513","26/9/2019","Group 3","199","1559"
"3512","23/9/2019","Group 3","105","2072"
"3511","19/9/2019","Group 3","52","2988"
"3510","16/9/2019","Group 3","100","1653"
"3509","12/9/2019","Group 3","157","1992"
"3508","9/9/2019","Group 3","106","2092"
"3507","5/9/2019","Group 3","64","2429"
"3506","2/9/2019","Group 3","152","1092"
"3505","29/8/2019","Group 3","105","1502"
"3504","26/8/2019","Group 3","330","1920"
"3503","22/8/2019","Group 3","173","1760"
"3502","19/8/2019","Group 3","210","1036"
"3501","15/8/2019","Group 3","58","2696"
"3500","12/8/2019","Group 3","79","2060"
"3499","8/8/2019","Group 3","107","1492"
"3498","5/8/2019","Group 3","236","1410"
"3497","1/8/2019","Group 3","145","1486"
"3496","29/7/2019","Group 3","83","1958"
"3495","25/7/2019","Group 3","98","1612"
"3494","22/7/2019","Group 3","217","1528"
"3493","18/7/2019","Group 3","115","1856"
"3492","15/7/2019","Group 3","57","2820"
"3491","11/7/2019","Group 3","364","1779"
"3490","8/7/2019","Group 3","260","1266"
"3489","4/7/2019","Group 3","99","2144"
"3488","1/7/2019","Group 3","81","2007"
"3487","27/6/2019","Group 3","163","1891"
"3486","24/6/2019","Group 3","92","2315"
"3485","20/6/2019","Group 3","102","1528"
"3484","17/6/2019","Group 3","153","1460"
"3483","13/6/2019","Group 3","93","1723"
"3482","10/6/2019","Group 3","148","1141"
"3481","6/6/2019","Group 3","147","1494"
"3480","3/6/2019","Group 3","183","913"
"3479","30/5/2019","Group 3","362","1739"
"3478","27/5/2019","Group 3","276","1196"
"3477","23/5/2019","Group 3","120","1809"
"3476","20/5/2019","Group 3","87","1912"
"3475","16/5/2019","Group 3","295","1046"
"3474","13/5/2019","Group 3","206","1059"
"3473","9/5/2019","Group 3","110","1441"
"3472","6/5/2019","Group 3","151","1480"
"3471","2/5/2019","Group 3","86","1847"
"3470","29/4/2019","Group 3","169","2005"
"3469","25/4/2019","Group 3","153","1421"
"3468","22/4/2019","Group 3","89","1874"
"3467","18/4/2019","Group 3","140","1631"
"3466","15/4/2019","Group 3","85","2052"
"3465","11/4/2019","Group 3","376","1723"
"3464","8/4/2019","Group 3","245","1461"
"3463","4/4/2019","Group 3","128","1735"
"3462","1/4/2019","Group 3","110","1516"
"3461","28/3/2019","Group 3","420","1547"
"3460","25/3/2019","Group 3","244","1409"
"3459","21/3/2019","Group 3","220","963"
"3458","18/3/2019","Group 3","99","1702"
"3457","14/3/2019","Group 3","233","1423"
"3456","11/3/2019","Group 3","109","2134"
"3455","7/3/2019","Group 3","79","2170"
"3454","4/3/2019","Group 3","231","1612"
"3453","28/2/2019","Group 3","109","2080"
"3452","25/2/2019","Group 3","102","1657"
"3451","22/2/2019","Group 3","872","1809"
"3450","18/2/2019","Group 3","92","2542"
"3449","14/2/2019","Group 3","219","917"
"3448","11/2/2019","Group 3","113","1943"
"3447","7/2/2019","Group 3","233","1096"
"3446","4/2/2019","Group 3","101","1911"
"3445","1/2/2019","Group 3","558","1236"
"3444","28/1/2019","Group 3","177","1443"
"3443","24/1/2019","Group 3","69","2470"
"3442","21/1/2019","Group 3","99","2520"
"3441","17/1/2019","Group 3","89","1907"
"3440","14/1/2019","Group 3","392","1695"
"3439","11/1/2019","Group 3","288","2187"
"3438","7/1/2019","Group 3","109","1599"
"3437","3/1/2019","Group 3","344","1984"
"3436","31/12/2018","Group 3","339","1038"
"3435","27/12/2018","Group 3","120","1735"
"3434","24/12/2018","Group 3","98","1699"
"3433","20/12/2018","Group 3","208","1461"
"3432","17/12/2018","Group 3","115","1817"
"3431","13/12/2018","Group 3","119","1292"
"3430","10/12/2018","Group 3","139","1518"
"3429","6/12/2018","Group 3","117","1317"
"3428","3/12/2018","Group 3","111","1416"
"3427","29/11/2018","Group 3","139","1441"
"3426","26/11/2018","Group 3","75","2096"
"3425","22/11/2018","Group 3","266","740"
"3424","19/11/2018","Group 3","64","2453"
"3423","15/11/2018","Group 3","76","2030"
"3422","12/11/2018","Group 3","113","1428"
"3421","8/11/2018","Group 3","248","1260"
"3420","5/11/2018","Group 3","113","2006"
"3419","1/11/2018","Group 3","53","3002"
"3418","29/10/2018","Group 3","239","658"
"3417","25/10/2018","Group 3","412","1502"
"3416","22/10/2018","Group 3","178","1807"
"3415","18/10/2018","Group 3","82","2439"
"3414","15/10/2018","Group 3","68","2365"
"3413","11/10/2018","Group 3","106","1888"
"3412","8/10/2018","Group 3","69","2400"
"3411","4/10/2018","Group 3","87","1828"
"3410","1/10/2018","Group 3","181","1241"
"3409","27/9/2018","Group 3","57","2735"
"3408","24/9/2018","Group 3","382","1636"
"3407","20/9/2018","Group 3","236","1243"
"3406","17/9/2018","Group 3","208","988"
"3405","13/9/2018","Group 3","56","2767"
"3404","10/9/2018","Group 3","78","2052"
"3403","6/9/2018","Group 3","171","1163"
"3402","3/9/2018","Group 3","97","1671"
"3401","30/8/2018","Group 3","103","2039"
"3400","27/8/2018","Group 3","142","1147"
"3399","23/8/2018","Group 3","124","1614"
"3398","20/8/2018","Group 3","82","1972"
"3397","16/8/2018","Group 3","149","1078"
"3396","13/8/2018","Group 3","284","799"
"3395","9/8/2018","Group 3","111","1497"
"3394","6/8/2018","Group 3","113","1503"
"3393","2/8/2018","Group 3","456","1423"
"3392","30/7/2018","Group 3","217","1467"
"3391","26/7/2018","Group 3","113","1792"
"3390","23/7/2018","Group 3","71","2258"
"3389","19/7/2018","Group 3","124","2409"
"3388","16/7/2018","Group 3","116","1893"
"3387","12/7/2018","Group 3","93","1705"
"3386","9/7/2018","Group 3","217","1485"
"3385","5/7/2018","Group 3","179","1171"
"3384","2/7/2018","Group 3","64","2587"
"3383","28/6/2018","Group 3","153","1374"
"3382","25/6/2018","Group 3","95","1729"
"3381","21/6/2018","Group 3","203","1543"
"3380","18/6/2018","Group 3","140","1549"
"3379","14/6/2018","Group 3","67","2369"
"3378","11/6/2018","Group 3","434","1487"
"3377","7/6/2018","Group 3","164","1957"
"3376","4/6/2018","Group 3","104","2175"
"3375","31/5/2018","Group 3","80","2032"
"3374","28/5/2018","Group 3","247","1371"
"3373","24/5/2018","Group 3","106","1973"
"3372","21/5/2018","Group 3","93","1704"
"3371","17/5/2018","Group 3","437","1456"
"3370","14/5/2018","Group 3","150","2162"
"3369","10/5/2018","Group 3","76","2711"
"3368","7/5/2018","Group 3","133","1263"
"3367","3/5/2018","Group 3","135","1557"
"3366","30/4/2018","Group 3","137","1224"
"3365","26/4/2018","Group 3","127","1682"
"3364","23/4/2018","Group 3","63","2644"
"3363","19/4/2018","Group 3","75","2150"
"3362","16/4/2018","Group 3","155","1057"
"3361","12/4/2018","Group 3","480","1396"
"3360","9/4/2018","Group 3","121","2715"
"3359","5/4/2018","Group 3","109","1917"
"3358","2/4/2018","Group 3","383","437"
"3357","29/3/2018","Group 3","155","1319"
"3356","26/3/2018","Group 3","86","1941"
"3355","22/3/2018","Group 3","88","1838"
"3354","19/3/2018","Group 3","147","1618"
"3353","15/3/2018","Group 3","70","2448"
"3352","12/3/2018","Group 3","267","1308"
"3351","8/3/2018","Group 3","137","1562"
"3350","5/3/2018","Group 3","78","2163"
"3349","2/3/2018","Group 3","770","1870"
"3348","26/2/2018","Group 3","141","1682"
"3347","22/2/2018","Group 3","151","1370"
"3346","19/2/2018","Group 3","154","2373"
"3345","15/2/2018","Group 3","119","2122"
"3344","12/2/2018","Group 3","113","1528"
"3343","9/2/2018","Group 3","455","1596"
"3342","5/2/2018","Group 3","82","2362"
"3341","1/2/2018","Group 3","90","1892"
"3340","29/1/2018","Group 3","94","1889"
"3339","25/1/2018","Group 3","118","1833"
"3338","22/1/2018","Group 3","82","2100"
"3337","18/1/2018","Group 3","418","1298"
"3336","15/1/2018","Group 3","208","1533"
"3335","11/1/2018","Group 3","88","2356"
"3334","8/1/2018","Group 3","106","1684"
"3333","5/1/2018","Group 3","642","1698"
"3332","1/1/2018","Group 3","129","2471"
"3331","28/12/2017","Group 3","123","1637"
"3330","25/12/2017","Group 3","177","946"
"3329","21/12/2017","Group 3","78","2013"
"3328","18/12/2017","Group 3","100","1658"
"3327","14/12/2017","Group 3","139","1968"
"3326","11/12/2017","Group 3","116","1810"
"3325","7/12/2017","Group 3","76","2001"
"3324","4/12/2017","Group 3","305","1673"
"3323","30/11/2017","Group 3","157","1777"
"3322","27/11/2017","Group 3","119","1766"
"3321","23/11/2017","Group 3","71","2195"
"3320","20/11/2017","Group 3","144","1151"
"3319","16/11/2017","Group 3","167","1734"
"3318","13/11/2017","Group 3","116","1918"
"3317","9/11/2017","Group 3","97","1734"
"3316","6/11/2017","Group 3","488","1037"
"3315","2/11/2017","Group 3","158","1833"
"3314","30/10/2017","Group 3","101","2200"
"3313","26/10/2017","Group 3","92","1694"
"3312","23/10/2017","Group 3","299","1685"
"3311","19/10/2017","Group 3","193","1485"
"3310","16/10/2017","Group 3","140","1568"
"3309","12/10/2017","Group 3","99","1596"
"3308","9/10/2017","Group 3","223","2408"
"3307","5/10/2017","Group 3","173","1745"
"3306","2/10/2017","Group 3","177","1236"
"3305","28/9/2017","Group 3","93","1674"
"3304","25/9/2017","Group 3","115","1912"
"3303","21/9/2017","Group 3","80","1893"
"3302","18/9/2017","Group 3","338","1512"
"3301","14/9/2017","Group 3","143","2015"
"3300","11/9/2017","Group 3","116","1787"
"3299","7/9/2017","Group 3","85","1838"
"3298","4/9/2017","Group 3","205","1514"
"3297","31/8/2017","Group 3","68","2926"
"3296","28/8/2017","Group 3","64","2501"
"3295","24/8/2017","Group 3","46","3212"
"3294","21/8/2017","Group 3","337","1561"
"3293","17/8/2017","Group 3","112","2458"
"3292","14/8/2017","Group 3","124","1586"
"3291","10/8/2017","Group 3","61","2445"
"3290","7/8/2017","Group 3","76","2115"
"3289","3/8/2017","Group 3","88","1768"
"3288","31/7/2017","Group 3","105","1996"
"3287","27/7/2017","Group 3","89","1663"
"3286","24/7/2017","Group 3","208","1415"
"3285","20/7/2017","Group 3","87","2170"
"3284","17/7/2017","Group 3","90","1741"
"3283","13/7/2017","Group 3","54","2841"
"3282","10/7/2017","Group 3","113","1884"
